format,model,paper_id,accuracy,sensitivity,specificity,precision,f1_score,cohen_kappa,processing_time_seconds,token_count
md,gpt-4o,Suda2025_100,69.811321,100.000000,33.333333,64.444444,78.378378,0.353659,38.827668,12879.000000
md,gpt-4o,Suda2025_102,71.698113,94.444444,23.529412,72.340426,81.927711,0.216749,40.081943,14547.000000
md,gpt-4o,Suda2025_108,71.698113,96.153846,48.148148,64.102564,76.923077,0.438956,28.836248,10691.000000
md,gpt-4o,Suda2025_143,66.037736,94.117647,15.789474,66.666667,78.048780,0.118299,29.277343,11873.000000
md,gpt-4o,Suda2025_34,62.264151,100.000000,20.000000,58.333333,73.684211,0.208955,29.578370,16927.000000
md,gpt-4o,Suda2025_4,86.792453,97.435897,57.142857,86.363636,91.566265,0.616339,39.465695,24764.000000
md,gpt-4o,Suda2025_50,71.698113,93.939394,35.000000,70.454545,80.519481,0.324554,26.467272,14313.000000
md,gpt-4o,Suda2025_57,56.603774,100.000000,34.285714,43.902439,61.016949,0.261660,28.250357,13659.000000
md,gpt-4o,Suda2025_74,77.358491,100.000000,45.454545,72.093023,83.783784,0.493631,27.693766,14821.000000
md,gpt-4o,Suda2025_86,71.698113,97.058824,26.315789,70.212766,81.481481,0.275296,28.622043,16467.000000
md,openai/gpt-oss-120b,Suda2025_100,83.018868,79.310345,87.500000,88.461538,83.636364,0.660981,23.522610,15399.000000
md,openai/gpt-oss-120b,Suda2025_102,84.905660,100.000000,52.941176,81.818182,90.000000,0.604478,25.377625,17331.000000
md,openai/gpt-oss-120b,Suda2025_108,62.264151,73.076923,51.851852,59.375000,65.517241,0.248227,69.369549,10417.000000
md,openai/gpt-oss-120b,Suda2025_143,73.584906,85.294118,52.631579,76.315789,80.555556,0.397727,16.733585,14497.000000
md,openai/gpt-oss-120b,Suda2025_34,73.584906,82.142857,64.000000,71.875000,76.666667,0.465418,66.896325,19451.000000
md,openai/gpt-oss-120b,Suda2025_4,86.792453,89.743590,78.571429,92.105263,90.909091,0.667860,47.050017,28096.000000
md,openai/gpt-oss-120b,Suda2025_50,88.679245,90.909091,85.000000,90.909091,90.909091,0.759091,28.372480,17279.000000
md,openai/gpt-oss-120b,Suda2025_57,86.792453,83.333333,88.571429,78.947368,81.081081,0.709475,65.399192,16321.000000
md,openai/gpt-oss-120b,Suda2025_74,75.471698,87.096774,59.090909,75.000000,80.597015,0.477635,74.445367,17983.000000
md,openai/gpt-oss-120b,Suda2025_86,81.132075,94.117647,57.894737,80.000000,86.486486,0.559068,33.224848,19418.000000
md,qwen/qwen3-235b-a22b-2507,Suda2025_100,77.358491,89.655172,62.500000,74.285714,81.250000,0.533040,31.974874,14667.000000
md,qwen/qwen3-235b-a22b-2507,Suda2025_102,75.471698,94.444444,35.294118,75.555556,83.950617,0.345679,39.686602,16600.000000
md,qwen/qwen3-235b-a22b-2507,Suda2025_108,77.358491,96.153846,59.259259,69.444444,80.645161,0.550212,99.004511,12820.000000
md,qwen/qwen3-235b-a22b-2507,Suda2025_143,67.924528,94.117647,21.052632,68.085106,79.012346,0.178669,61.257833,13831.000000
md,qwen/qwen3-235b-a22b-2507,Suda2025_34,73.584906,92.857143,52.000000,68.421053,78.787879,0.458394,57.888112,19056.000000
md,qwen/qwen3-235b-a22b-2507,Suda2025_4,92.452830,100.000000,71.428571,90.697674,95.121951,0.786290,27.713270,28872.000000
md,qwen/qwen3-235b-a22b-2507,Suda2025_50,84.905660,90.909091,75.000000,85.714286,88.235294,0.672334,29.288737,16049.000000
md,qwen/qwen3-235b-a22b-2507,Suda2025_57,67.924528,100.000000,51.428571,51.428571,67.924528,0.418334,27.235247,15413.000000
md,qwen/qwen3-235b-a22b-2507,Suda2025_74,77.358491,93.548387,54.545455,74.358974,82.857143,0.507740,57.127288,16805.000000
md,qwen/qwen3-235b-a22b-2507,Suda2025_86,71.698113,97.058824,26.315789,70.212766,81.481481,0.275296,35.320072,18589.000000
md,x-ai/grok-4,Suda2025_100,81.132075,72.413793,91.666667,91.304348,80.769231,0.627286,125.479547,18491.000000
md,x-ai/grok-4,Suda2025_102,81.132075,91.666667,58.823529,82.500000,86.842105,0.538328,83.926687,17648.000000
md,x-ai/grok-4,Suda2025_108,75.471698,73.076923,77.777778,76.000000,74.509804,0.508909,81.047337,14532.000000
